Number,Album,Artist,publisher,published,shelfid
353,My Beautiful Dark Twisted Fantasy,Kanye West,Nec Institute,2019-11-04,4
354,52nd Street,Billy Joel,Non Arcu Vivamus Corporation,2005-07-18,4
355,Having a Rave Up,The Yardbirds,Class Corp.,1975-08-11,4
356,12 Songs,Randy Newman,Suspendisse Tristique Incorporated,1978-07-25,4
357,Between the Buttons,The Rolling Stones,Etiam Gravida Molestie Industries,1974-02-27,4
358,Sketches of Spain,Miles Davis,Dui Corp.,1990-03-06,4
359,Honky Chteau,Elton John,Pellentesque A Industries,1962-03-02,4
360,Singles Going Steady,Buzzcocks,Cum Sociis Natoque Associates,1984-04-05,4
361,Stankonia,OutKast,Purus Corporation,2021-03-26,4
362,Siamese Dream,The Smashing Pumpkins,At Augue Inc.,2007-08-16,4
363,Substance 1987,New Order,Vitae Corporation,1983-11-27,4
364,L.A. Woman,The Doors,Ullamcorper Viverra Maecenas LLP,1962-08-30,4
365,Rage Against the Machine,Rage Against the Machine,Nisl Nulla Eu PC,1974-11-13,4
366,American Recordings,Johnny Cash,Tellus Imperdiet Non Corp.,1961-06-03,4
367,Ray of Light,Madonna,Mauris Ipsum Foundation,1993-05-13,4
368,Eagles,Eagles,Velit Consulting,2008-02-09,4
369,Louder Than Bombs,The Smiths,Metus Facilisis Lorem Corp.,1965-01-26,4
370,Mott,Mott the Hoople,Fusce Corporation,2006-08-03,4
371,Whatever People Say I Am, That's What I'm Not,Cursus Inc.,1976-05-12,4
372,Reggatta de Blanc,The Police,Mollis Duis Associates,2006-03-11,4
373,Volunteers,Jefferson Airplane,Elit Elit Consulting,1967-02-15,4
374,Siren,Roxy Music,Nam Ligula Ltd,1966-03-12,4
375,Late for the Sky,Jackson Browne,Blandit Congue In Institute,1990-08-24,4
376,Post,Bjork,Urna Consulting,2006-12-08,4
377,The Ultimate Collection: 1948-1990,John Lee Hooker,Mus LLP,2004-05-10,4
378,(What's the Story) Morning Glory?,Oasis,Nonummy Ipsum Company,2001-04-22,4
379,CrazySexyCool,TLC,At Pretium Aliquet Corporation,2022-06-04,4
380,Funky Kingston,Toots & The Maytals,Nulla In LLP,2002-04-17,4
381,The Smile Sessions,The Beach Boys,Et LLP,1995-03-21,4
382,The Modern Lovers,The Modern Lovers,Dictum Phasellus In LLC,2014-12-13,4
383,More Songs About Buildings and Food,Talking Heads,Enim Mi Associates,1994-05-22,4
384,A Quick One,The Who,Risus Nunc Ac Corporation,2012-02-24,4
385,Love and Theft,Bob Dylan,Nunc Consulting,1970-12-08,4
386,Pretzel Logic,Steely Dan,Suspendisse Commodo Tincidunt PC,1998-03-05,4
387,Enter the Wu_Tang: 36 Chambers,Wu Tang Clan,Orci Quis Lectus Corp.,1979-01-11,4
388,The Indestructible Beat of Soweto,Various Artists,Aliquam LLP,1962-09-12,4
389,The End of the Innocence,Don Henley,Sollicitudin Inc.,2006-12-08,4
390,Elephant,The White Stripes,Pellentesque Inc.,1962-05-02,4
391,The Pretender,Jackson Browne,Mus Aenean Incorporated,2001-04-26,4
392,Let It Be,The Beatles,Nisl Maecenas Malesuada Industries,1997-08-09,4
393,Kala,M.I.A.,Malesuada Ltd,1959-02-09,4
394,Good Old Boys,Randy Newman,Felis Nulla Industries,2001-01-10,4
395,Sound of Silver,LCD Soundsystem,At Auctor Ullamcorper Associates,2009-05-26,4
396,For Your Pleasure,Roxy Music,Sed Hendrerit Corporation,2014-08-08,4
397,Blue Lines,Massive Attack,A Enim Associates,1977-12-21,4
398,Eliminator,ZZ Top,Sodales Inc.,1960-11-02,4
399,Rain Dogs,Tom Waits,Massa Integer Vitae Inc.,1963-10-04,4
400,Anthology: The Best of The Temptations,The Temptations,Mi Corp.,1980-07-08,5
401,Californication,Red Hot Chili Peppers,Malesuada Id LLC,1999-10-07,5
402,Illmatic,Nas,Velit In Incorporated,2014-05-18,5
403,(pronounced 'leh-'nerd 'skin-'nerd),Lynyrd Skynyrd,Tortor At Institute,1989-05-16,5
404,Dr. John's Gumbo,Dr. John,Faucibus Lectus A Ltd,1977-03-11,5
405,Radio City,Big Star,Mauris Foundation,2018-07-07,5
406,Rid of Me,PJ Harvey,Lobortis Tellus Justo Corp.,2014-06-30,5
407,Sandinista!,The Clash,Mauris Company,2002-06-13,5
408,I Do Not Want What I Haven't Got,Sinead O'Connor,Vel Quam Dignissim Foundation,1976-01-28,5
409,Strange Days,The Doors,Vel Sapien Imperdiet Incorporated,1971-07-27,5
410,Time Out of Mind,Bob Dylan,Eu Incorporated,1981-05-27,5
411,461 Ocean Boulevard,Eric Clapton,Luctus Sit Institute,1996-08-06,5
412,Pink Flag,Wire,Nibh Enim LLC,2009-07-02,5
413,Double Nickels on the Dime,Minutemen,Orci Lacus Vestibulum LLC,2006-10-02,5
414,Beauty and the Beat,The Go Go's,Pellentesque LLC,1965-12-01,5
415,Van Halen,Van Halen,Sociosqu Corp.,1967-11-21,5
416,Mule Variations,Tom Waits,Ligula Foundation,1996-03-17,5
417,Boy,U2,Dapibus Id Consulting,1994-09-17,5
418,Band on the Run,Paul McCartney & Wings,Ut Quam Associates,2004-05-01,5
419,Dummy,Portishead,At Pretium Corporation,1979-06-16,5
420,The Chirping Crickets,The Crickets,Torquent Per Limited,1967-08-05,5
421,The Best of the Girl Groups, Volume 1,Lorem Ipsum Corp.,2021-08-06,5
422,Presenting the Fabulous Ronettes Featuring Veronica,The Ronettes,Fringilla Mi Foundation,1976-03-28,5
423,Anthology,Diana Ross & The Supremes,In At Pede Industries,2007-04-02,5
424,The Rising,Bruce Springsteen,Lorem Institute,2003-03-28,5
425,Grievous Angel,Gram Parsons,Magna Company,2012-05-26,5
426,Cheap Trick at Budokan,Cheap Trick,Egestas Fusce Aliquet Company,2004-05-18,5
427,Sleepless,Peter Wolf,Donec Felis Industries,1981-12-01,5
428,Outlandos d'Amour,The Police,Vulputate Nisi Sem Foundation,1969-05-29,5
429,Another Green World,Brian Eno,Sed Neque Sed Institute,1969-09-06,5
430,Vampire Weekend,Vampire Weekend,Venenatis Lacus Etiam Associates,2012-03-11,5
431,Stories From the City, Stories From the Sea,Egestas Rhoncus Limited,1975-06-22,5
432,Here Come the Warm Jets,Brian Eno,Nam Tempor Associates,1975-12-26,5
433,All Things Must Pass,George Harrison,Laoreet Libero Corp.,1988-09-28,5
434,#1 Record,Big Star,Eget Limited,2001-07-04,5
435,In Utero,Nirvana,Elit Erat Institute,2020-09-13,5
436,Sea Change,Beck,A Facilisis Non Consulting,1960-06-08,5
437,Tha Carter III,Lil Wayne,Ornare Sagittis Felis LLC,2018-06-30,5
438,Boys Don't Cry,The Cure,Semper Pretium Neque Institute,2020-08-29,5
439,Live at the Harlem Square Club, 1963,Justo Sit Amet PC,1991-10-23,5
440,Rum Sodomy & the Lash,The Pogues,Tristique Inc.,1992-07-26,5
441,Suicide,Suicide,Eu Tempor Erat LLC,1958-08-21,5
442,Q: Are We Not Men? A: We Are Devo!,DEVO,Pharetra Company,1971-12-05,5
443,In Color,Cheap Trick,Quam LLP,1975-12-24,5
444,The World Is a Ghetto,War,Nulla Dignissim Industries,2011-01-31,5
445,Fly Like an Eagle,Steve Miller Band,Cras Company,1980-11-27,5
446,Back in the USA,MC5,Lobortis Class Aptent Corp.,1995-06-24,5
447,Getz / Gilberto,Stan GetzÊ/ÊJoao GilbertoÊfeaturingÊAntonio Carlos Jobim,Donec Egestas Associates,1966-01-18,5
448,Synchronicity,The Police,Sit Consulting,1967-04-08,5
449,Third/Sister Lovers,Big Star,Arcu Associates,2013-10-02,5
450,For Everyman,Jackson Browne,Quis Urna Ltd,1989-06-21,5
451,Back to Black,Amy Winehouse,Adipiscing Lobortis Risus Incorporated,1958-10-09,5
452,John Prine,John Prine,Et Inc.,1969-06-13,5
453,Strictly Business,EPMD,Ultricies Industries,1965-08-19,5
454,Love It to Death,Alice Cooper,Donec Sollicitudin Adipiscing Corporation,1960-04-07,5
455,How Will the Wolf Survive?,Los Lobos,Facilisis Vitae LLP,2005-11-19,5
456,Here, My Dear,Nec Corp.,1974-12-20,5
457,Z,My Morning Jacket,Sem Company,1964-11-04,5
458,Tumbleweed Connection,Elton John,Vel Sapien Inc.,1981-10-11,5
459,The Drifters' Golden Hits,The Drifters,Ipsum Primis Foundation,1990-06-30,5
460,Live Through This,Hole,Quam Vel Sapien Incorporated,1984-12-01,5
461,Metal Box,Public Image Ltd.,Metus Vivamus Incorporated,1986-02-17,5
462,Document,R.E.M.,Elementum Foundation,1984-04-24,5
463,Heaven Up Here,Echo and The Bunnymen,Nunc Corporation,1959-07-30,5
464,Hysteria,Def Leppard,Nullam Scelerisque Neque Ltd,1990-10-22,5
465,69 Love Songs,The Magnetic Fields,Ac Inc.,1981-02-26,5
466,A Rush of Blood to the Head,Coldplay,Semper Auctor Foundation,1973-09-12,5
467,Tunnel of Love,Bruce Springsteen,Vestibulum Ut Corp.,2013-10-20,5
468,The Paul Butterfield Blues Band,The Paul Butterfield Blues Band,Proin Vel Industries,1965-11-03,5
469,The Score,Fugees,Consequat Purus Maecenas PC,1995-05-30,5
470,Radio,L.L. Cool J,Non Dapibus Corp.,1965-07-09,5
471,I Want to See the Bright Lights Tonight,Richard & Linda Thompson,Sed Malesuada Augue Institute,1979-06-01,5
472,Faith,George Michael,Tristique Industries,1999-04-21,5
473,The Smiths,The Smiths,Ac Mattis Incorporated,1981-07-26,5
474,Proxima estacion: Esperanza,Manu Chao,Gravida Sagittis Duis Inc.,2019-08-20,5
475,Armed Forces,Elvis Costello & The Attractions,At Arcu Consulting,1958-06-12,5
476,Life After Death,The Notorious B.I.G.,Sociis Natoque Associates,1969-06-01,5
477,Down Every Road,Merle Haggard,Sagittis Felis Ltd,1996-07-13,5
478,All Time Greatest Hits,Loretta Lynn,Molestie Sodales Mauris Inc.,1984-02-25,5
479,Maggot Brain,Funkadelic,Amet Metus Company,1998-09-25,5
480,Only Built 4 Cuban Linx,Raekwon,Duis Corporation,1966-09-08,5
481,Voodoo,D'Angelo,Dui Associates,2021-09-24,5
482,Guitar Town,Steve Earle,Nulla Cras Associates,1997-02-25,5
483,Entertainment!,Gang of Four,Est Ac Mattis LLP,2017-12-01,5
484,All the Young Dudes,Mott the Hoople,Gravida Praesent Consulting,1993-02-04,5
485,Vitalogy,Pearl Jam,Blandit PC,1965-04-26,5
486,That's the Way of the World,Earth,Phasellus Dapibus Quam Associates,2015-11-30,5
487,She's So Unusual,Cyndi Lauper,Aliquam PC,2015-03-14,5
488,New Day Rising,Husker Du,Ipsum Incorporated,1973-05-06,5
489,Destroyer,KISS,Augue Id Ante Limited,2018-09-14,5
490,Tres hombres,ZZ Top,Ut Nulla Cras Corp.,1962-01-11,5
491,Born Under a Bad Sign,Albert King,Sed Pede Cum LLC,2015-07-04,5
492,Touch,Eurythmics,Et Rutrum Corporation,1971-07-30,5
493,Yankee Hotel Foxtrot,Wilco,Praesent Luctus Curabitur Industries,1984-05-04,5
494,Oracular Spectacular,MGMT,Ante LLP,2007-03-28,5
495,Give It Up,Bonnie Raitt,Est Congue Limited,2007-08-03,5
496,Boz Scaggs,Boz Scaggs,Donec Consulting,1980-02-10,5
497,White Blood Cells,The White Stripes,Nullam Lobortis PC,1961-04-06,5
498,The Stone Roses,The Stone Roses,Molestie Consulting,1978-12-17,5
499,Live in Cook County Jail,B.B. King,Duis A Foundation,1963-09-14,5
500,Aquemini,OutKast,Vel Mauris Integer Limited,1963-09-14,6
